Crash Severity Description,Reportnumber,Agencyname,CollisionImpact Description,Crash County Description,FunctionalClass Description,ImpairedCrash,Large Vehicle Involved,OffRoad,RoadName,Route Number,RouteType Description,Unrestrained Occupants,Crashdate,Work Zone Crash,Latitude,Longitude,CrashYear,Crashtime,Crashhour
Property Damage Crashes,BSPDA2800022,Baltimore City School Police,Unknown,Baltimore City,,No,Yes,No,,296.0,CROSSOVER,Yes,1/23/2025,No,39.3154021,-76.653743136,2025,08:55,8
Property Damage Crashes,ADJ929004Y,Baltimore City Police Department,"Sideswipe, Same Direction",Baltimore City,Principal Arterial – Other,No,Yes,No,E LOMBARD ST,1390.0,MUNICIPAL ROAD,Yes,2/4/2025,No,39.287896005,-76.610663385,2025,12:00,12
Property Damage Crashes,MTA0432000Q,Maryland Transit Administration,"Sideswipe, Same Direction",Baltimore City,Minor Arterial,No,Yes,No,LIGHT ST,1560.0,MUNICIPAL ROAD,No,3/21/2025,No,39.272130289,-76.611620172,2025,16:30,16
Injury Crashes,MTA0364002M,Maryland Transit Administration,Angle,Baltimore City,Local,No,Yes,No,N PAYSON ST,8114.0,MUNICIPAL ROAD,Yes,3/18/2025,No,39.3099243,-76.6500535,2025,14:00,14
Property Damage Crashes,HB05150006,Maryland-National Capital Park Police Prince George's County,Front to Rear,Prince George's,,No,Yes,Yes,,,,No,1/7/2025,No,38.788546064,-76.971812667,2025,13:15,13
Property Damage Crashes,ADK8950022,Baltimore City Police Department,"Sideswipe, Same Direction",Baltimore City,Minor Arterial,No,Yes,No,PARK HEIGHTS AVE (SB/L),129.0,MARYLAND ROUTE,No,2/14/2025,No,39.348320695,-76.674596241,2025,10:36,10
Injury Crashes,AE60970060,Baltimore County Police Department,Other,Baltimore County,Minor Arterial,No,Yes,No,NORTH POINT BLVD (SB/L),151.0,MARYLAND ROUTE,No,1/26/2025,No,39.233699812,-76.457152227,2025,18:45,18
Injury Crashes,AE440101LM,Baltimore County Police Department,Single Vehicle,Baltimore County,,No,Yes,No,,23.0,RAILROAD,No,2/20/2025,No,39.246429683,-76.467643752,2025,08:25,8
Property Damage Crashes,DA345600F3,Prince George's County Police,"Sideswipe, Opposite Direction",Prince George's,,No,Yes,No,,105.0,COUNTY ROAD,No,2/26/2025,No,39.006719767,-76.970777076,2025,14:10,14
Property Damage Crashes,BSPDA213000D,Baltimore City School Police,"Sideswipe, Same Direction",Baltimore City,,No,Yes,Yes,,,,No,1/9/2025,No,39.348469191,-76.644028409,2025,17:45,17
Property Damage Crashes,AC26320011,Anne Arundel County Police,Front to Rear,Anne Arundel,Principal Arterial – Other,No,Yes,No,GOV RITCHIE HWY (SB/L),2.0,MARYLAND ROUTE,No,3/13/2025,No,39.194879461,-76.613628275,2025,16:17,16
Property Damage Crashes,DA43060052,Prince George's County Police,"Sideswipe, Same Direction",Prince George's,Principal Arterial – Other,No,Yes,No,MARTIN LUTHER KING JR HWY (WB/L),704.0,MARYLAND ROUTE,No,3/6/2025,No,38.938167082,-76.858189198,2025,07:37,7
Property Damage Crashes,ADJ8670048,Baltimore City Police Department,"Sideswipe, Opposite Direction",Baltimore City,Local,No,Yes,No,DIENER PL,3486.0,MUNICIPAL ROAD,No,3/27/2025,No,39.283401368,-76.687527773,2025,04:57,4
Property Damage Crashes,AC26710001,Anne Arundel County Police,Front to Front,Anne Arundel,Local,No,Yes,No,BLUE GRASS WAY,6538.0,COUNTY ROAD,No,3/20/2025,No,39.075069701,-76.675771751,2025,08:25,8
Property Damage Crashes,AC250900BW,Anne Arundel County Police,"Sideswipe, Same Direction",Anne Arundel,Principal Arterial – Other,No,Yes,No,SOLOMONS ISLAND RD (SB/L),2.0,MARYLAND ROUTE,Yes,1/30/2025,No,38.968042247,-76.544423786,2025,07:40,7
Property Damage Crashes,ADL0970003,Baltimore City Police Department,Front to Rear,Baltimore City,Local,No,Yes,No,SPRINGDALE AV,8323.0,MUNICIPAL ROAD,No,3/30/2025,No,39.327971181,-76.693322728,2025,10:55,10
Property Damage Crashes,MSP735900HX,Maryland State Police,Single Vehicle,Baltimore County,Interstate,No,Yes,No,J F K MEMORIAL HWY,95.0,INTERSTATE ROUTE,No,1/4/2025,No,39.431207861,-76.383888385,2025,02:35,2
Property Damage Crashes,ADI693004S,Baltimore City Police Department,"Sideswipe, Same Direction",Baltimore City,Principal Arterial – Other,No,Yes,No,EDMONDSON AVE,40.0,UNITED STATE ROUTE,No,3/13/2025,No,39.2936658,-76.683809092,2025,14:45,14
Property Damage Crashes,ADE5730027,Baltimore City Police Department,Other,Baltimore City,Local,No,Yes,No,BOYD ST,892.0,MUNICIPAL ROAD,No,1/23/2025,No,39.287386393,-76.630573983,2025,11:11,11
Property Damage Crashes,MTA0428000J,Maryland Transit Administration,Other,Baltimore City,,No,Yes,No,,139.0,RAILROAD,Yes,3/7/2025,No,39.2857658,-76.6193849,2025,10:30,10
Property Damage Crashes,MSP7587007W,Maryland State Police,"Sideswipe, Same Direction",Howard,Interstate,No,Yes,No,NO NAME (SB/L),95.0,INTERSTATE ROUTE,No,3/18/2025,No,39.188761983,-76.77578045,2025,14:55,14
Property Damage Crashes,AC205200BP,Anne Arundel County Police,Rear To Rear,Anne Arundel,,No,Yes,Yes,,,,No,3/12/2025,No,39.218031045,-76.676550438,2025,10:30,10
Property Damage Crashes,DA4402000W,Prince George's County Police,"Sideswipe, Same Direction",Prince George's,Local,No,Yes,No,SPAULDING AVE,4140.0,COUNTY ROAD,Yes,2/3/2025,No,38.864691483,-76.924766806,2025,14:20,14
Property Damage Crashes,ADJ416003R,Baltimore City Police Department,Angle,Baltimore City,Minor Arterial,No,Yes,No,E FAYETTE ST,1680.0,MUNICIPAL ROAD,No,1/17/2025,No,39.294059072,-76.594611257,2025,07:27,7
Property Damage Crashes,MSP617100MC,Maryland State Police,"Sideswipe, Same Direction",Prince George's,Interstate,No,Yes,No,CAPITAL BELTWAY,95.0,INTERSTATE ROUTE,No,1/23/2025,No,38.986239875,-76.880721124,2025,12:13,12
Property Damage Crashes,MSP7453009D,Maryland State Police,Front to Rear,Prince George's,Interstate,No,Yes,No,JOHN HANSON HWY,595.0,INTERSTATE ROUTE,No,2/28/2025,No,38.953579267,-76.72546535,2025,05:31,5
Injury Crashes,ADK485002N,Baltimore City Police Department,Front to Rear,Baltimore City,Local,No,Yes,No,N SMALLWOOD ST,8308.0,MUNICIPAL ROAD,No,2/11/2025,No,39.30642604,-76.65250396,2025,11:53,11
Property Damage Crashes,AE408600W2,Baltimore County Police Department,"Sideswipe, Same Direction",Baltimore County,Local,No,Yes,No,LOCUSTVALE RD,1159.0,COUNTY ROAD,No,1/3/2025,No,39.409232157,-76.6008554,2025,09:23,9
Property Damage Crashes,AE6859000R,Baltimore County Police Department,Single Vehicle,Baltimore County,Local,No,Yes,No,TAYLOR AVE N,8862.0,COUNTY ROAD,No,1/14/2025,No,39.308396176,-76.476579377,2025,16:01,16
Property Damage Crashes,ADK614002C,Baltimore City Police Department,Front to Front,Baltimore City,Principal Arterial – Other,No,Yes,No,ENSOR ST,1357.0,MUNICIPAL ROAD,No,3/27/2025,No,39.295289284,-76.60571919,2025,08:31,8
Property Damage Crashes,AC23540044,Anne Arundel County Police,"Sideswipe, Opposite Direction",Anne Arundel,Local,No,Yes,No,7TH ST,434.0,COUNTY ROAD,No,1/6/2025,No,39.180248378,-76.592824642,2025,10:17,10
Injury Crashes,MDTA1035001P,Maryland Transportation Authority Police,"Sideswipe, Same Direction",Baltimore City,Interstate,No,Yes,No,FORT MCHENRY TUNNEL (SB/L),95.0,INTERSTATE ROUTE,No,2/26/2025,No,39.280825465,-76.55080866,2025,06:15,6
Property Damage Crashes,DA393600G2,Prince George's County Police,"Sideswipe, Same Direction",Prince George's,Minor Arterial,No,Yes,No,WALKER MILL RD (EB/L),367.0,COUNTY ROAD,Yes,3/6/2025,No,38.873166517,-76.857328734,2025,16:42,16
Property Damage Crashes,MDTA1822005F,Maryland Transportation Authority Police,Front to Rear,Baltimore City,,No,Yes,No,,3725.0,LOCAL ROAD,Yes,2/18/2025,No,39.269512731,-76.634963756,2025,10:12,10
Injury Crashes,ADK766005Z,Baltimore City Police Department,Other,Baltimore City,Principal Arterial – Other,No,Yes,No,ERDMAN AVE,151.0,MARYLAND ROUTE,Yes,2/7/2025,No,39.301689888,-76.54243409,2025,18:10,18
Property Damage Crashes,MSP727700YG,Maryland State Police,"Sideswipe, Same Direction",Baltimore County,Interstate,No,Yes,No,BALTO BELTWAY (INNER LOOP),695.0,INTERSTATE ROUTE,No,2/1/2025,No,39.282342365,-76.731679808,2025,12:21,12
Injury Crashes,MSP645200D0,Maryland State Police,"Sideswipe, Same Direction",Baltimore County,Interstate,No,Yes,No,BALTO BELTWAY (INNER LOOP),695.0,INTERSTATE ROUTE,No,1/10/2025,No,39.372324941,-76.51677035,2025,10:07,10
Injury Crashes,AC2618001R,Anne Arundel County Police,Front to Front,Anne Arundel,Minor Arterial,No,Yes,No,JESSUP RD,175.0,MARYLAND ROUTE,No,3/24/2025,No,39.141535233,-76.758171018,2025,17:51,17
Injury Crashes,MSP647600HL,Maryland State Police,Front to Rear,Prince George's,Principal Arterial – Other,No,Yes,No,CRAIN HWY (SB/L),301.0,UNITED STATE ROUTE,No,3/29/2025,No,38.664244371,-76.874639043,2025,09:32,9
Property Damage Crashes,ADK127002X,Baltimore City Police Department,"Sideswipe, Same Direction",Baltimore City,Local,No,Yes,No,OVERLAND AV,5530.0,MUNICIPAL ROAD,No,2/10/2025,No,39.343085134,-76.577866262,2025,07:25,7
Property Damage Crashes,ADK4350074,Baltimore City Police Department,Other,Baltimore City,Principal Arterial – Other,No,Yes,No,FLEET ST,1230.0,MUNICIPAL ROAD,No,3/31/2025,No,39.284451034,-76.59628479,2025,02:21,2
Injury Crashes,MTA0385002C,Maryland Transit Administration,Single Vehicle,Baltimore City,Principal Arterial – Other,No,Yes,No,EDMONDSON AVE (WB/L),40.0,UNITED STATE ROUTE,Yes,2/11/2025,No,39.293993951,-76.67824521,2025,15:17,15
Property Damage Crashes,ADK8000011,Baltimore City Police Department,"Sideswipe, Same Direction",Baltimore City,Principal Arterial – Other,No,Yes,No,REISTERSTOWN RD (SB/L),140.0,MARYLAND ROUTE,No,3/18/2025,No,39.348904253,-76.691985833,2025,08:09,8
Property Damage Crashes,MSP7688001R,Maryland State Police,"Sideswipe, Same Direction",Baltimore County,Interstate,No,Yes,No,BALTO BELTWAY (INNER LOOP),695.0,INTERSTATE ROUTE,No,2/20/2025,No,39.294978759,-76.742398555,2025,12:33,12
Injury Crashes,MDTA1429001F,Maryland Transportation Authority Police,Single Vehicle,Baltimore City,Interstate,No,Yes,No,RAMP 2 FR MORAVIA RD WB TO RP 3 (895 NB),895.0,RAMP,No,1/28/2025,No,39.311236979,-76.540322345,2025,10:45,10
Property Damage Crashes,AE425300WS,Baltimore County Police Department,"Sideswipe, Same Direction",Baltimore County,Local,No,Yes,No,BUCKSWAY RD,5943.0,COUNTY ROAD,Yes,1/22/2025,No,39.428629528,-76.730412904,2025,09:50,9
Property Damage Crashes,DA3635006G,Prince George's County Police,Other,Prince George's,Local,No,Yes,No,TANTALLON DR,2917.0,COUNTY ROAD,No,3/11/2025,No,38.717963343,-77.005784912,2025,16:50,16
Injury Crashes,ADI87200FH,Baltimore City Police Department,Front to Rear,Baltimore City,Major Collector,No,Yes,No,STRATHMORE AVE,2835.0,MUNICIPAL ROAD,Yes,2/6/2025,No,39.358693262,-76.69397698,2025,08:05,8
Property Damage Crashes,MSP503800G0,Maryland State Police,"Sideswipe, Same Direction",Baltimore County,Interstate,No,Yes,No,BALTO BELTWAY (OUTER LOOP),695.0,INTERSTATE ROUTE,No,3/28/2025,Yes,39.359115333,-76.746714833,2025,11:59,11
Property Damage Crashes,ADK942002T,Baltimore City Police Department,Front to Front,Baltimore City,Local,No,Yes,No,N ATHOL AV,731.0,MUNICIPAL ROAD,No,2/17/2025,No,39.293588874,-76.689359064,2025,09:51,9
Property Damage Crashes,AE5274002L,Baltimore County Police Department,Front to Rear,Baltimore County,,No,Yes,Yes,,,,No,1/24/2025,No,39.404644127,-76.564610699,2025,11:12,11
Injury Crashes,MSP647600HF,Maryland State Police,Front to Rear,Prince George's,Interstate,No,Yes,No,CAPITAL BELTWAY (SB/L),95.0,INTERSTATE ROUTE,No,3/11/2025,No,38.94015056,-76.85625317,2025,18:13,18
Property Damage Crashes,ADI4660053,Baltimore City Police Department,"Sideswipe, Same Direction",Baltimore City,,Yes,Yes,No,,43.0,MUNICIPAL ROAD,No,3/6/2025,No,39.275201,-76.642115,2025,01:34,1
Property Damage Crashes,AE6201007W,Baltimore County Police Department,Angle,Baltimore County,,No,Yes,Yes,,,,No,1/15/2025,No,39.28986239,-76.717401141,2025,16:40,16
Injury Crashes,MSP69310130,Maryland State Police,Single Vehicle,Prince George's,Principal Arterial – Other,No,Yes,No,CRAIN HWY,301.0,UNITED STATE ROUTE,No,1/30/2025,No,38.705505,-76.858798333,2025,08:28,8
Property Damage Crashes,TSU03930015,Towson University Police,Front to Rear,Baltimore County,,No,Yes,No,,1814.0,PRIVATE ROAD,Yes,1/2/2025,No,39.386716539,-76.615394431,2025,20:00,20
Injury Crashes,AC2551004Y,Anne Arundel County Police,Front to Front,Anne Arundel,Principal Arterial – Other Freeways and Expressways,No,Yes,No,ARUNDEL EXPWY,10.0,MARYLAND ROUTE,No,2/7/2025,No,39.178166183,-76.60571975,2025,16:50,16
Property Damage Crashes,MSP727600CF,Maryland State Police,Front to Rear,Howard,Interstate,No,Yes,No,NO NAME (SB/L),95.0,INTERSTATE ROUTE,No,1/9/2025,No,39.200761331,-76.76086128,2025,16:31,16
Property Damage Crashes,AB7383000X,Annapolis Police Department,"Sideswipe, Same Direction",Anne Arundel,Local,No,Yes,No,SCHOONER CT,2805.0,MUNICIPAL ROAD,No,3/25/2025,No,38.970790573,-76.524110889,2025,08:57,8
Property Damage Crashes,AE64970097,Baltimore County Police Department,Single Vehicle,Baltimore County,Local,No,Yes,No,MONKTON FARMS DR,7674.0,COUNTY ROAD,No,2/3/2025,No,39.560923581,-76.618145957,2025,16:20,16
Property Damage Crashes,AC26580007,Anne Arundel County Police,"Sideswipe, Opposite Direction",Anne Arundel,,No,Yes,Yes,,,,No,1/20/2025,No,39.098957685,-76.69497122,2025,10:06,10
Injury Crashes,ADK0680022,Baltimore City Police Department,Unknown,Baltimore City,Minor Arterial,No,Yes,No,E 25TH ST,4650.0,MUNICIPAL ROAD,No,2/28/2025,No,39.317825426,-76.616954599,2025,11:41,11
Injury Crashes,ADI1400086,Baltimore City Police Department,Single Vehicle,Baltimore City,,No,Yes,No,,45.0,MARYLAND ROUTE,No,3/3/2025,No,39.323181339,-76.609601772,2025,14:37,14
Injury Crashes,ADL048000F,Baltimore City Police Department,Front to Rear,Baltimore City,,No,Yes,No,,2100.0,MUNICIPAL ROAD,No,2/22/2025,No,39.338891814,-76.667945547,2025,12:14,12
Property Damage Crashes,AE6782001G,Baltimore County Police Department,Front to Front,Baltimore County,Local,No,Yes,No,MONUMENTAL RD,3241.0,COUNTY ROAD,No,1/20/2025,No,39.2372865,-76.670083,2025,09:43,9
Property Damage Crashes,DA43180045,Prince George's County Police,Front to Rear,Prince George's,Minor Arterial,No,Yes,No,TEMPLE HILL RD,123.0,COUNTY ROAD,No,3/25/2025,No,38.794776423,-76.928360404,2025,07:09,7
Property Damage Crashes,DA3795006P,Prince George's County Police,Front to Rear,Prince George's,,Yes,Yes,No,,114.0,COUNTY ROAD,No,1/11/2025,No,38.780405229,-77.006728133,2025,18:46,18
Property Damage Crashes,AE6503005F,Baltimore County Police Department,Single Vehicle,Baltimore County,,No,Yes,Yes,,,,No,2/15/2025,No,39.398822771,-76.553231774,2025,16:00,16
Property Damage Crashes,AT1037000C,Capitol Heights Police Department,"Sideswipe, Opposite Direction",Prince George's,Minor Collector,No,Yes,No,COUNTY RD,84.0,COUNTY ROAD,No,1/20/2025,No,38.862104134,-76.898055263,2025,19:05,19
Property Damage Crashes,DA380500DN,Prince George's County Police,Front to Rear,Prince George's,,No,Yes,Yes,,,,No,3/8/2025,No,38.9779045,-76.9376474,2025,20:11,20
Property Damage Crashes,CE1089001Y,Laurel Police Department,Front to Rear,Prince George's,Local,No,Yes,No,LAUREL OAKS LA,215.0,MUNICIPAL ROAD,No,1/9/2025,No,39.094620774,-76.875648797,2025,09:57,9
Property Damage Crashes,MSP7770006F,Maryland State Police,Front to Rear,Prince George's,Principal Arterial – Other,No,Yes,No,CRAIN HWY,301.0,UNITED STATE ROUTE,No,2/7/2025,No,38.691402514,-76.87203218,2025,13:43,13
Injury Crashes,DA4304005N,Prince George's County Police,Angle,Prince George's,Minor Arterial,No,Yes,No,POWDER MILL RD (SB/L),212.0,MARYLAND ROUTE,No,1/18/2025,No,39.048774726,-76.934892576,2025,06:59,6
Property Damage Crashes,CB64920012,Howard County Police,Single Vehicle,Howard,,No,Yes,No,,112.0,COUNTY ROAD,No,3/22/2025,No,39.116276575,-76.831378678,2025,17:23,17
Property Damage Crashes,ADK9420030,Baltimore City Police Department,Front to Rear,Baltimore City,Major Collector,No,Yes,No,W LEXINGTON ST,4165.0,MUNICIPAL ROAD,No,3/12/2025,No,39.290547165,-76.648718091,2025,20:13,20
Property Damage Crashes,AE6609003D,Baltimore County Police Department,Other,Baltimore County,,No,Yes,Yes,,,,No,2/24/2025,No,39.387892314,-76.613892899,2025,10:50,10
Injury Crashes,AE616400GM,Baltimore County Police Department,Front to Front,Baltimore County,,No,Yes,No,,3353.0,COUNTY ROAD,No,2/24/2025,No,39.402445183,-76.568150783,2025,09:56,9
Property Damage Crashes,ADK4970038,Baltimore City Police Department,Front to Rear,Baltimore City,Minor Arterial,No,Yes,No,WOODBOURNE AVE,1140.0,MUNICIPAL ROAD,No,1/11/2025,No,39.35541808,-76.609178425,2025,15:21,15
Property Damage Crashes,MSP632100ZV,Maryland State Police,"Sideswipe, Same Direction",Anne Arundel,Principal Arterial – Other Freeways and Expressways,No,Yes,No,BALTIMORE WASHINGTON PKWY (SB/L),295.0,MARYLAND ROUTE,No,2/25/2025,No,39.221466167,-76.655069667,2025,16:45,16
Property Damage Crashes,AE616400GY,Baltimore County Police Department,Front to Rear,Baltimore County,Local,No,Yes,No,EDDINGTON RD,3513.0,COUNTY ROAD,No,3/17/2025,No,39.398927354,-76.556337595,2025,07:30,7
Property Damage Crashes,CB6232003V,Howard County Police,"Sideswipe, Same Direction",Howard,Local,No,Yes,No,PORT CAPITOL DR,3868.0,COUNTY ROAD,No,2/10/2025,No,39.174496875,-76.778686063,2025,14:17,14
Property Damage Crashes,ADK609003V,Baltimore City Police Department,Front to Rear,Baltimore City,Principal Arterial – Other,No,Yes,No,FREDERICK AVE,144.0,MARYLAND ROUTE,No,1/16/2025,No,39.279781312,-76.665160134,2025,09:06,9
Injury Crashes,MTA02840027,Maryland Transit Administration,"Sideswipe, Same Direction",Baltimore City,Minor Arterial,No,Yes,No,W FAYETTE ST,1681.0,MUNICIPAL ROAD,Yes,2/26/2025,No,39.290375146,-76.622237207,2025,12:00,12
Property Damage Crashes,ADI452006Z,Baltimore City Police Department,Front to Rear,Baltimore City,Principal Arterial – Other,No,Yes,No,W NORTHERN PKWY,1022.0,MUNICIPAL ROAD,No,2/27/2025,No,39.357368302,-76.65478524,2025,13:27,13
Property Damage Crashes,AE559800BW,Baltimore County Police Department,Front to Rear,Baltimore County,Principal Arterial – Other,No,Yes,No,HANOVER PIKE,30.0,MARYLAND ROUTE,No,1/13/2025,No,39.569548369,-76.840287888,2025,06:40,6
Property Damage Crashes,ADK864001Z,Baltimore City Police Department,"Sideswipe, Same Direction",Baltimore City,Principal Arterial – Other,No,Yes,No,WILKENS AVE (SB/L),1.0,UNITED STATE ROUTE,No,2/20/2025,No,39.273998498,-76.671540322,2025,16:34,16
Property Damage Crashes,AC24530076,Anne Arundel County Police,"Sideswipe, Opposite Direction",Anne Arundel,Local,No,Yes,No,LOWER PINDELL RD,3541.0,COUNTY ROAD,Yes,1/16/2025,No,38.769317823,-76.663265471,2025,12:59,12
Injury Crashes,MTA0369001P,Maryland Transit Administration,Front to Rear,Baltimore City,Principal Arterial – Other,Yes,Yes,No,W PATAPSCO AVE,100.0,MUNICIPAL ROAD,Yes,1/5/2025,No,39.249030167,-76.639667161,2025,02:00,2
Property Damage Crashes,AC19200061,Anne Arundel County Police,Single Vehicle,Anne Arundel,,No,Yes,Yes,,,,No,2/17/2025,No,38.983507696,-76.538940508,2025,11:30,11
Property Damage Crashes,AB7087003J,Annapolis Police Department,Other,Anne Arundel,,No,Yes,Yes,,,,No,3/26/2025,No,38.949296956,-76.487089789,2025,13:10,13
Property Damage Crashes,ADI761003J,Baltimore City Police Department,Front to Rear,Baltimore City,Principal Arterial – Other,No,Yes,No,MARTIN LUTHER KING JR BLVD (SB/L),6020.0,MUNICIPAL ROAD,No,3/3/2025,No,39.293713731,-76.627982692,2025,05:05,5
Property Damage Crashes,MSP76880012,Maryland State Police,Single Vehicle,Baltimore County,Interstate,No,Yes,No,BALTO BELTWAY (INNER LOOP),695.0,INTERSTATE ROUTE,No,1/24/2025,No,39.23355828,-76.667123057,2025,08:58,8
Property Damage Crashes,DA44230008,Prince George's County Police,Front to Front,Prince George's,Local,No,Yes,No,FLAGSTAFF ST,3727.0,COUNTY ROAD,No,1/8/2025,No,38.920651067,-76.891471513,2025,01:17,1
Injury Crashes,DA4265001C,Prince George's County Police,Angle,Prince George's,Minor Arterial,No,Yes,No,,210.0,MARYLAND ROUTE,No,2/13/2025,No,38.821033081,-77.001230431,2025,12:54,12
Property Damage Crashes,AE47870103,Baltimore County Police Department,"Sideswipe, Opposite Direction",Baltimore County,Local,No,Yes,No,DELLSWAY RD,3371.0,COUNTY ROAD,No,1/8/2025,No,39.394382484,-76.571736886,2025,18:34,18
Injury Crashes,MSP743400MM,Maryland State Police,Front to Rear,Baltimore County,Interstate,Yes,Yes,No,HARRISBURG EXPWY (SB/L),83.0,INTERSTATE ROUTE,Yes,2/14/2025,No,39.574588333,-76.674628333,2025,18:09,18
Property Damage Crashes,DA421200FH,Prince George's County Police,Front to Rear,Prince George's,Minor Arterial,No,Yes,No,ANNAPOLIS RD,450.0,MARYLAND ROUTE,No,2/7/2025,No,38.947190713,-76.891148686,2025,14:51,14
Property Damage Crashes,AC2550003Z,Anne Arundel County Police,Single Vehicle,Anne Arundel,Local,No,Yes,No,COVINGTON AVE,3655.0,COUNTY ROAD,No,1/3/2025,No,39.138058052,-76.646264733,2025,14:56,14
Injury Crashes,MSP737600P8,Maryland State Police,Front to Rear,Baltimore County,Interstate,No,Yes,No,BALTO BELTWAY (INNER LOOP),695.0,INTERSTATE ROUTE,No,2/6/2025,No,39.411823902,-76.583287858,2025,21:20,21
Property Damage Crashes,AE67610013,Baltimore County Police Department,Front to Rear,Baltimore County,Local,No,Yes,No,CIRCLE RD,4139.0,COUNTY ROAD,No,1/14/2025,No,39.370364939,-76.362822331,2025,08:20,8
Property Damage Crashes,MSP6844012D,Maryland State Police,Front to Rear,Baltimore County,Interstate,No,Yes,No,BALTO BELTWAY (INNER LOOP),695.0,INTERSTATE ROUTE,No,2/17/2025,Yes,39.398627016,-76.551785434,2025,11:24,11
Property Damage Crashes,AE598900CL,Baltimore County Police Department,"Sideswipe, Same Direction",Baltimore County,Local,No,Yes,No,HILLSMERE RD,1958.0,COUNTY ROAD,No,2/20/2025,No,39.339731,-76.735953,2025,17:23,17
